Blood Bank Name,Address,City,State,Contact ,Helpline
G.B. Pant Hospital Blood bank,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",Port Blair,Andaman And Nicobar Islands,03192 230628,1
I.N.H.S. Dhanvantri,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",Port Blair,Andaman And Nicobar Islands,03192 248759,1
Pillar Health Centre Blood Bank,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",Port Blair,Andaman And Nicobar Islands,"03192 233193, 03192 233993",1
"Indian Red Cross Society Blood Bank, District Branch","Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",Anantapur,Andhra Pradesh,08554 246344,1
Government General Hospital Blood Bank,"Government General Hospital, Ananthapur",Ananthapur,Andhra Pradesh,08554 275024,1
Indian Red Cross Society,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",Ananthapur,Andhra Pradesh,8554246344,1
Rural Development Trust Hospital Blood Bank,"Kadiri Road, Bathalapalli, Ananthapur",Bathalapalli,Andhra Pradesh,08559 244259,1
South Central Railway Hospital Blood Bank,"S.C. Railway Hospital, Guntakal, Ananthapuramu",Guntakal,Andhra Pradesh,08552 227166,1
Indian Red Cross Society Blood Bank,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",Hindupur,Andhra Pradesh,08556 225900,1
Indian Red Cross Society Blood bank RCH -II KADIRI,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",Kadiri,Andhra Pradesh,08494 221544,1
S.S.S.I.H.M.S. Blood Bank,"Prasanthigram, Puttaparthy, Ananthapuramu",Puttaparthy,Andhra Pradesh,08555 287900,1
District Head Quarters Hospital Blood Bank. ,"Head Quarters  Hospital Compound, Chittoor",Chittoor,Andhra Pradesh,08555 287900,1
Indian Red Cross Society,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",Chittoor,Andhra Pradesh,8572220287,1
M/s IRCS Blood Bank.,"D.No. 20 - 119, Prakasam High Road, Chittor",Chittoor,Andhra Pradesh,08572 220287 ,1
M/s PESIMSR Blood Bank.,"PES Institute of medical sciences premises, Kuppam
",Kuppam,Andhra Pradesh,08570 256737,1
Blood Bank AH Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",Madanapalli,Andhra Pradesh,8571222087,1
"Indian Red Cross Society, Madanapalli RCH 2","Area Hospital, Patel Road, Madanapalli.
",Madnapalli,Andhra Pradesh,08571 222087,1
"Aswini Hospital Blood Bank, TTD","Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",Tirumala,Andhra Pradesh,9490651605,1
SVRRGGH - Model Blood Bank,"S.V.R.R. Government General Hospital, Tirupati
",Tirupati,Andhra Pradesh,0877 2286290,1
Sri Venkateswara Institute of Medical sciences Blood Bank,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",Tirupati,Andhra Pradesh,0877 2287777,1
Govt Maternity Hospital Blood Bank,"Ruia Hospital Road, Tirupati",Tirupati,Andhra Pradesh,0877 2287777,1
 TTD Central Hospital Blood Bank,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",Tirupati,Andhra Pradesh,0877 2264622,1
S.V.S. Charitable Trust Blood Bank and Transfusion Centre,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",Tirupati,Andhra Pradesh,0877 6667671 ,1
Government Hospital,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",Amalapuram,Andhra Pradesh,0877 6667671 ,1
"M/S. Kims & Research Foundation, Hospital Blood Bank","Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",Amalapuram,Andhra Pradesh,"08856 237996, 08856 237997, 08856 237998",1
M/s. A.P.V.V.P Area Hospital Blood Bank  ,"Ground Floor Area Hospital, Amalapuram",Amalapuram,Andhra Pradesh,"08856 237996, 08856 237997, 08856 237998",1
"M/s. Government General Hospital, Blood Bank.","Government General Premises, Ground Floor, Kakinada",Kakinada,Andhra Pradesh,0884 2302008,1
M/s. Indian Red Cross Society Blood Bank,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",Kakinada,Andhra Pradesh,0884 2385800,1
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",Kakinada,Andhra Pradesh,"0884 2367366, ",1
